OBJECTID,DNR_REGION_NAME,DNR_CNTY_CODE,COUNTY_NAME,COUNTY_FIPS_CODE,SHAPEAREA,SHAPELEN
321,Southeast Region,30,Kenosha,59,721045434.738002,123267.303862926
322,South Central Region,33,Lafayette,65,1641794820.83417,164707.650039867
323,South Central Region,54,Rock,105,1879381549.21405,174114.58766997
324,Southeast Region,65,Walworth,127,1492598261.96814,154833.279356904
325,South Central Region,23,Green,45,1512854983.48043,155741.104372655
326,Southeast Region,52,Racine,101,881856997.156111,136330.146671074
327,South Central Region,28,Jefferson,55,1508383942.85506,155148.729863876
328,Southeast Region,68,Waukesha,133,1503091655.31083,154932.869344247
329,South Central Region,25,Iowa,49,1987500061.3847,190748.530560845
330,Southeast Region,41,Milwaukee,79,627912939.737478,123807.142037267
331,South Central Region,22,Grant,43,3056072356.38817,247096.299436973
332,South Central Region,13,Dane,25,3204610205.21891,231224.529662893
333,West Central Region,12,Crawford,23,1550525534.21376,181827.372558929
334,South Central Region,53,Richland,103,1524958366.84488,167590.534875237
335,Southeast Region,67,Washington,131,1128189116.33932,138783.02706632
336,Southeast Region,46,Ozaukee,89,609374148.800577,119252.903511466
337,South Central Region,14,Dodge,27,2348412248.4722,195437.668016005
338,South Central Region,57,Sauk,111,2196077683.13997,215968.208957885
339,South Central Region,11,Columbia,21,2060373639.05629,222534.705455251
340,West Central Region,63,Vernon,123,2113139377.09329,221363.620892813
341,Southeast Region,60,Sheboygan,117,1340398330.18724,145771.279531522
342,Northeast Region,20,Fond du Lac,39,1982400533.96929,204269.23704968
343,Northeast Region,39,Marquette,77,1201734894.87647,150978.010139449
344,Northeast Region,24,Green Lake,47,983974034.187234,142066.534688762
345,West Central Region,32,La Crosse,63,1242359440.50607,161107.867314105
346,West Central Region,42,Monroe,81,2350927323.33467,201575.0765652
347,Northeast Region,70,Waushara,137,1649677049.35283,171963.630853834
348,West Central Region,29,Juneau,57,2081415931.03885,243946.749567137
349,West Central Region,1,Adams,1,1781418527.22179,207462.267913743
350,Northeast Region,71,Winnebago,139,1498762652.64474,154940.941789239
351,Northeast Region,8,Calumet,15,1027434026.01019,135857.996201605
352,Northeast Region,36,Manitowoc,71,1542430954.7006,170576.932258307
353,Northeast Region,45,Outagamie,87,1668716243.96031,164097.031168396
354,West Central Region,27,Jackson,53,2588595105.39428,253228.757910391
355,West Central Region,62,Trempealeau,121,1920107761.66091,223790.375518136
356,West Central Region,6,Buffalo,11,1837279814.68078,211900.729787698
357,West Central Region,72,Wood,141,2094135331.78461,191085.831599512
358,Northeast Region,69,Waupaca,135,1980254729.66895,195117.048580042
359,West Central Region,50,Portage,97,2130215216.7531,195740.281887511
360,Northeast Region,5,Brown,9,1386204049.84249,236574.841280941
361,West Central Region,47,Pepin,91,644168009.646275,156123.083287671
362,Northeast Region,31,Kewaunee,61,891120607.612136,129297.817456391
363,West Central Region,18,Eau Claire,35,1670530919.43705,173193.074781428
364,West Central Region,48,Pierce,93,1535001841.20542,165723.551861623
365,Northeast Region,59,Shawano,115,2354405476.09435,253897.783924578
366,West Central Region,10,Clark,19,3153811948.2721,231503.186473039
367,West Central Region,37,Marathon,73,4079194654.69209,269394.287554112
368,Northeast Region,40,Menominee,78,944886802.858014,136275.440980571
369,West Central Region,17,Dunn,33,2236630410.96524,196419.502761323
370,West Central Region,56,Saint Croix,109,1905920415.05969,182745.157184583
371,West Central Region,9,Chippewa,17,2695241368.0833,213839.985874645
372,Northeast Region,15,Door,29,1264030793.42384,479191.082941339
373,Northern Region,61,Taylor,119,2547273648.86838,216140.080929559
374,Northeast Region,43,Oconto,83,2632688086.48366,310010.74028348
375,Northern Region,34,Langlade,67,2298178416.1066,220898.349817606
376,Northern Region,35,Lincoln,69,2346733943.19671,193441.173079247
377,Northern Region,55,Rusk,107,2409930944.71962,211796.566783631
378,Northern Region,3,Barron,5,2304013499.73581,191882.689797914
379,Northern Region,49,Polk,95,2477352683.886,237962.489275676
380,Northeast Region,38,Marinette,75,3702103112.09004,389404.765628783
381,Northern Region,44,Oneida,85,3200078055.69182,260146.246987199
382,Northern Region,51,Price,99,3307613323.22832,232671.327452611
383,Northern Region,19,Florence,37,1287732789.19526,186024.222479101
384,Northern Region,21,Forest,41,2708836355.21506,256474.6101235
385,Northern Region,58,Sawyer,113,3494980627.29333,250615.256568046
386,Northern Region,66,Washburn,129,2208826420.76119,193998.142980685
387,Northern Region,7,Burnett,13,2278506549.3984,255299.190996135
388,Northern Region,64,Vilas,125,2634484407.10581,250507.672225653
389,Northern Region,26,Iron,51,2076555824.22447,241955.54318934
390,Northern Region,16,Douglas,31,3476446003.16949,258177.017227852
391,Northern Region,4,Bayfield,7,3914442993.70297,342451.979344041
392,Northern Region,2,Ashland,3,2729952137.24851,526588.065487087
